Code,Year,Annual CO2 emissions (per capita)
CHN,2000,2.6649
CHN,2001,2.7056
CHN,2002,2.9622
CHN,2003,3.4555
CHN,2004,3.9482
CHN,2005,4.4159
CHN,2006,4.8481
CHN,2007,5.1847
CHN,2008,5.5386
CHN,2009,5.7939
CHN,2010,6.295
CHN,2011,6.9223
CHN,2012,7.0623
CHN,2013,7.1506
CHN,2014,7.1353
CHN,2015,7.0003
CHN,2016,6.8742
CHN,2017,6.9812
CHN,2018,7.2077
CHN,2019,7.3163
CHN,2020,7.4117
KOR,2000,9.298
KOR,2001,9.5636
KOR,2002,9.9332
KOR,2003,10.0693
KOR,2004,10.1508
KOR,2005,10.2578
KOR,2006,10.3212
KOR,2007,10.664
KOR,2008,10.858
KOR,2009,10.9272
KOR,2010,12.021
KOR,2011,12.5447
KOR,2012,12.5635
KOR,2013,12.6285
KOR,2014,12.4604
KOR,2015,12.4985
KOR,2016,12.5386
KOR,2017,12.8335
KOR,2018,13.125
KOR,2019,12.6505
KOR,2020,11.6562
JPN,2000,9.9148
JPN,2001,9.7857
JPN,2002,10.0015
JPN,2003,10.0538
JPN,2004,10.0064
JPN,2005,10.0554
JPN,2006,9.8687
JPN,2007,10.1416
JPN,2008,9.5871
JPN,2009,9.0484
JPN,2010,9.4507
JPN,2011,9.8434
JPN,2012,10.1695
JPN,2013,10.251
JPN,2014,9.8599
JPN,2015,9.5589
JPN,2016,9.4215
JPN,2017,9.3184
JPN,2018,8.9893
JPN,2019,8.7177
JPN,2020,8.1499
RUS,2000,10.0493
RUS,2001,10.3387
RUS,2002,10.2998
RUS,2003,10.5497
RUS,2004,10.6239
RUS,2005,10.7717
RUS,2006,11.203
RUS,2007,11.1998
RUS,2008,11.4271
RUS,2009,10.6676
RUS,2010,11.2428
RUS,2011,11.5878
RUS,2012,11.6679
RUS,2013,11.2206
RUS,2014,11.2162
RUS,2015,11.1949
RUS,2016,11.1416
RUS,2017,11.3135
RUS,2018,11.6078
RUS,2019,11.5132
RUS,2020,10.8072